county_id,month_number,month_name,county,fahrenheit
18,12,December,Lassen,32.8
19,1,January,Los Angeles,50.6
19,2,February,Los Angeles,45
19,3,March,Los Angeles,52.9
19,4,April,Los Angeles,60.4
19,5,May,Los Angeles,58.3
19,6,June,Los Angeles,70.3
19,7,July,Los Angeles,75.8
19,8,August,Los Angeles,76.7
19,9,September,Los Angeles,71.7
19,10,October,Los Angeles,64.3
19,11,November,Los Angeles,57.8
19,12,December,Los Angeles,48.6
20,1,January,Madera,44.5
20,2,February,Madera,38.9
20,3,March,Madera,46.4
20,4,April,Madera,55.7
20,5,May,Madera,55.4
20,6,June,Madera,69.5
20,7,July,Madera,73.3
20,8,August,Madera,74.4
20,9,September,Madera,66.8
20,10,October,Madera,56.3
20,11,November,Madera,51
20,12,December,Madera,43.3
21,1,January,Marin,51.9
21,2,February,Marin,46.4
21,3,March,Marin,51.4
21,4,April,Marin,56.8
21,5,May,Marin,54.8
21,6,June,Marin,62.2
21,7,July,Marin,62
21,8,August,Marin,65.9
21,9,September,Marin,64.2
21,10,October,Marin,61
21,11,November,Marin,55.4
21,12,December,Marin,50.6
22,1,January,Mariposa,43.5
22,2,February,Mariposa,35.9
22,3,March,Mariposa,44.3
22,4,April,Mariposa,54.1
22,5,May,Mariposa,53.5
22,6,June,Mariposa,68
22,7,July,Mariposa,72.2
22,8,August,Mariposa,73.4
22,9,September,Mariposa,65.4
22,10,October,Mariposa,56.4
22,11,November,Mariposa,51.2
22,12,December,Mariposa,41.6
23,1,January,Mendocino,47.1
23,2,February,Mendocino,40.9
23,3,March,Mendocino,47
23,4,April,Mendocino,54.8
23,5,May,Mendocino,56
23,6,June,Mendocino,65.7
23,7,July,Mendocino,68.4
23,8,August,Mendocino,70.8
23,9,September,Mendocino,64.4
23,10,October,Mendocino,56.7
23,11,November,Mendocino,52.7
23,12,December,Mendocino,45.9
24,1,January,Merced,50.2
24,2,February,Merced,48
24,3,March,Merced,54.2
24,4,April,Merced,63.5
24,5,May,Merced,63
24,6,June,Merced,75.1
